tile_ID,norm_pos,is_activator,variable,value,tile_pos,protein_ID
MVX_gp2-004,0.23529411764705882,True,ratio_rep1,1.1243157471209375,4,MVX_gp2
MVX_gp2-004,0.23529411764705882,False,ratio_rep1,0.9478695968366926,4,MVX_gp2
MVX_gp2-004,0.23529411764705882,False,ratio_rep1,0.9575863151708116,4,MVX_gp2
MVX_gp2-004,0.23529411764705882,False,ratio_rep1,1.0449821295077764,4,MVX_gp2
PhVB_ORF2-005,0.2631578947368421,False,ratio_rep1,0.8094272632268587,5,PhVB_ORF2
PhVB_ORF2-005,0.2631578947368421,True,ratio_rep1,1.2846982777288716,5,PhVB_ORF2
PhVB_ORF2-005,0.2631578947368421,True,ratio_rep1,1.0951851541648787,5,PhVB_ORF2
PhVB_ORF2-005,0.2631578947368421,False,ratio_rep1,0.990271950753019,5,PhVB_ORF2
SMYEVgp2-005,0.2631578947368421,True,ratio_rep1,1.094171162928941,5,SMYEVgp2
SMYEVgp2-005,0.2631578947368421,True,ratio_rep1,1.1015229364291712,5,SMYEVgp2
SMYEVgp2-005,0.2631578947368421,False,ratio_rep1,0.8319346122853102,5,SMYEVgp2
SMYEVgp2-005,0.2631578947368421,False,ratio_rep1,0.8758872846369531,5,SMYEVgp2
EXK57_gp2-005,0.2631578947368421,True,ratio_rep1,1.1016541051473394,5,EXK57_gp2
EXK57_gp2-005,0.2631578947368421,True,ratio_rep1,1.4369491726139183,5,EXK57_gp2
GarVXgp2-006,0.3157894736842105,True,ratio_rep1,1.4920150488761126,6,GarVXgp2
GarVXgp2-006,0.3157894736842105,True,ratio_rep1,1.3591226984805174,6,GarVXgp2
CGU97_gp2-015,0.75,False,ratio_rep1,0.9094291018386206,15,CGU97_gp2
CGRMVgp2-004,0.2222222222222222,True,ratio_rep1,1.1590036032068276,4,CGRMVgp2
CGRMVgp2-005,0.2777777777777778,False,ratio_rep1,1.0277208940028777,5,CGRMVgp2
CGRMVgp2-006,0.3333333333333333,False,ratio_rep1,1.015373259927992,6,CGRMVgp2
GarVCgp2-006,0.3,False,ratio_rep1,1.0021640552563025,6,GarVCgp2
WClMVgp2-006,0.3157894736842105,False,ratio_rep1,1.064063586868037,6,WClMVgp2
WClMVgp2-008,0.42105263157894735,False,ratio_rep1,0.9411004981191334,8,WClMVgp2
TI02_gp2-005,0.2631578947368421,False,ratio_rep1,0.8956175167975639,5,TI02_gp2
MVX_gp2-004,0.23529411764705882,False,ratio_rep2,0.9391794989321836,4,MVX_gp2
MVX_gp2-004,0.23529411764705882,True,ratio_rep2,1.1796368402664197,4,MVX_gp2
MVX_gp2-004,0.23529411764705882,False,ratio_rep2,0.7880584935645205,4,MVX_gp2
MVX_gp2-004,0.23529411764705882,True,ratio_rep2,1.184279722208059,4,MVX_gp2
PhVB_ORF2-005,0.2631578947368421,True,ratio_rep2,1.2885785713614393,5,PhVB_ORF2
PhVB_ORF2-005,0.2631578947368421,True,ratio_rep2,1.1276920886104598,5,PhVB_ORF2
PhVB_ORF2-005,0.2631578947368421,True,ratio_rep2,1.366670926292218,5,PhVB_ORF2
PhVB_ORF2-005,0.2631578947368421,True,ratio_rep2,1.3767014333328875,5,PhVB_ORF2
SMYEVgp2-005,0.2631578947368421,True,ratio_rep2,1.1921711846104388,5,SMYEVgp2
SMYEVgp2-005,0.2631578947368421,False,ratio_rep2,0.9672120854898808,5,SMYEVgp2
SMYEVgp2-005,0.2631578947368421,False,ratio_rep2,0.9193788230457676,5,SMYEVgp2
SMYEVgp2-005,0.2631578947368421,False,ratio_rep2,1.051428198218244,5,SMYEVgp2
EXK57_gp2-005,0.2631578947368421,True,ratio_rep2,1.5576049960368363,5,EXK57_gp2
EXK57_gp2-005,0.2631578947368421,True,ratio_rep2,1.3746181873558434,5,EXK57_gp2
GarVXgp2-006,0.3157894736842105,False,ratio_rep2,1.0916343283426375,6,GarVXgp2
GarVXgp2-006,0.3157894736842105,False,ratio_rep2,0.9632496563629184,6,GarVXgp2
CGU97_gp2-015,0.75,False,ratio_rep2,0.8494744770419829,15,CGU97_gp2
CGRMVgp2-004,0.2222222222222222,True,ratio_rep2,1.2080799409188816,4,CGRMVgp2
CGRMVgp2-005,0.2777777777777778,False,ratio_rep2,1.012125245609551,5,CGRMVgp2
CGRMVgp2-006,0.3333333333333333,False,ratio_rep2,0.8402176993770382,6,CGRMVgp2
GarVCgp2-006,0.3,False,ratio_rep2,0.7438682610240182,6,GarVCgp2
WClMVgp2-006,0.3157894736842105,False,ratio_rep2,0.92603097871859,6,WClMVgp2
WClMVgp2-008,0.42105263157894735,False,ratio_rep2,1.0703122914062535,8,WClMVgp2
TI02_gp2-005,0.2631578947368421,False,ratio_rep2,0.9251029640975772,5,TI02_gp2
